strain	virus	date	region	country	gisaid_epi_isl
DR0070	ncov	2020-09-14	Caribbean	Dominican Republic	NA
DR0071	ncov	2020-09-14	Caribbean	Dominican Republic	NA
DR0072	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0073	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0074	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0075	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0076	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0077	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0078	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0079	ncov	2020-09-15	Caribbean	Dominican Republic	NA
DR0080	ncov	2020-09-17	Caribbean	Dominican Republic	NA
DR0081	ncov	2020-10-05	Caribbean	Dominican Republic	NA
DR0082	ncov	2020-10-05	Caribbean	Dominican Republic	NA
DR0083	ncov	2020-10-05	Caribbean	Dominican Republic	NA
DR0084	ncov	2020-10-06	Caribbean	Dominican Republic	NA
DR0085	ncov	2020-10-09	Caribbean	Dominican Republic	NA
DR0086	ncov	2020-10-09	Caribbean	Dominican Republic	NA
DR0087	ncov	2020-10-12	Caribbean	Dominican Republic	NA
DR0088	ncov	2020-10-12	Caribbean	Dominican Republic	NA
DR0089	ncov	2020-10-12	Caribbean	Dominican Republic	NA
DR0090	ncov	2020-10-14	Caribbean	Dominican Republic	NA
DR0091	ncov	2020-10-14	Caribbean	Dominican Republic	NA
DR0092	ncov	2020-10-14	Caribbean	Dominican Republic	NA
DR0093	ncov	2020-10-19	Caribbean	Dominican Republic	NA
DR0094	ncov	2020-10-19	Caribbean	Dominican Republic	NA
DR0095	ncov	2020-10-19	Caribbean	Dominican Republic	NA
DR0096	ncov	2020-10-19	Caribbean	Dominican Republic	NA
DR0097	ncov	2020-10-19	Caribbean	Dominican Republic	NA
DR0098	ncov	2020-10-19	Caribbean	Dominican Republic	NA
DR0099	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0100	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0101	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0102	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0103	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0104	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0105	ncov	2020-10-20	Caribbean	Dominican Republic	NA
DR0106	ncov	2020-10-27	Caribbean	Dominican Republic	NA
DR0107	ncov	2020-10-28	Caribbean	Dominican Republic	NA
DR0108	ncov	2020-10-28	Caribbean	Dominican Republic	NA
DR0109	ncov	2020-10-28	Caribbean	Dominican Republic	NA
DR0110	ncov	2020-10-28	Caribbean	Dominican Republic	NA
DR0111	ncov	2020-11-11	Caribbean	Dominican Republic	NA
DR0112	ncov	2020-11-11	Caribbean	Dominican Republic	NA
DR0113	ncov	2020-11-12	Caribbean	Dominican Republic	NA
DR0114	ncov	2020-11-12	Caribbean	Dominican Republic	NA
DR0115	ncov	2020-11-12	Caribbean	Dominican Republic	NA
DR0116	ncov	2020-11-12	Caribbean	Dominican Republic	NA
DR0117	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0118	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0119	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0120	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0121	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0122	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0123	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0124	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0125	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0126	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0127	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0128	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0129	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0130	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0131	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0132	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0133	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0134	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0135	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0136	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0137	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0138	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0139	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0140	ncov	2020-11-16	Caribbean	Dominican Republic	NA
DR0141	ncov	2020-11-17	Caribbean	Dominican Republic	NA
DR0142	ncov	2020-11-17	Caribbean	Dominican Republic	NA
DR0143	ncov	2020-11-17	Caribbean	Dominican Republic	NA
DR0144	ncov	2020-11-18	Caribbean	Dominican Republic	NA
DR0145	ncov	2020-11-18	Caribbean	Dominican Republic	NA
DR0146	ncov	2020-11-18	Caribbean	Dominican Republic	NA
DR0147	ncov	2020-11-18	Caribbean	Dominican Republic	NA
DR0148	ncov	2020-11-19	Caribbean	Dominican Republic	NA
DR0149	ncov	2020-11-19	Caribbean	Dominican Republic	NA
DR0150	ncov	2020-11-19	Caribbean	Dominican Republic	NA
DR0151	ncov	2020-11-19	Caribbean	Dominican Republic	NA
DR0152	ncov	2020-11-20	Caribbean	Dominican Republic	NA
DR0153	ncov	2020-11-20	Caribbean	Dominican Republic	NA
DR0154	ncov	2020-11-20	Caribbean	Dominican Republic	NA
DR0155	ncov	2020-11-20	Caribbean	Dominican Republic	NA
DR0156	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0157	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0158	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0159	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0160	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0161	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0162	ncov	2020-11-23	Caribbean	Dominican Republic	NA
DR0163	ncov	2020-11-24	Caribbean	Dominican Republic	NA
